resistor 1%,resistor 0.5%
1,1
1.1,1.2
1.2,2.4
1.3,3
1.5,3.3
1.6,3.9
1.8,4.7
2,5.1
2.2,6.8
2.4,10
2.7,10.2
3,10.7
3.3,11
3.6,11.5
3.9,12
4.3,12.1
4.7,13
5.1,15
5.6,16
6.2,16.5
6.8,16.9
7.5,17.4
8.2,18
9.1,18.7
10,19.1
10.2,19.6
10.5,20
10.7,20.5
11,21
11.3,21.5
11.5,22
11.8,22.6
12,23.2
12.1,24
12.4,24.3
12.7,25.5
13,26.1
13.3,26.7
13.7,27
14,27.4
14.3,28
14.7,28.7
15,29.4
15.4,30
15.8,30.1
16,30.9
16.2,31.6
16.5,32.4
16.9,33
17.4,33.2
17.8,34
18,35.7
18.2,36
18.7,37.4
19.1,39
19.6,39.2
20,40.2
20.5,41.2
21,42.2
21.5,43
22,43.2
22.1,44.2
22.6,46.4
23.2,47
23.7,47.5
24,49.9
24.3,62
24.9,64.9
25.5,68
26.1,68.1
26.7,75
27,80.6
27.4,82
28,100
28.7,102
29.4,105
30,107
30.1,110
30.9,113
31.6,115
32.4,118
33,120
33.2,121
34,124
34.8,127
35.7,130
36,133
36.5,137
37.4,140
38.3,143
39,147
39.2,150
40.2,154
41.2,158
42.2,160
43,162
43.2,165
44.2,169
45.3,174
46.4,178
47,180
47.5,182
48.7,187
49.9,191
51,196
51.1,200
52.3,205
53.6,210
54.9,215
56,220
56.2,221
57.6,226
59,232
60.4,237
61.9,240
62,243
63.4,249
64.9,255
66.5,261
68,267
68.1,270
69.8,274
71.5,280
73.2,287
75,294
76.8,300
78.7,301
80.6,309
82,316
82.5,330
84.5,332
86.6,340
88.7,348
90.9,357
91,360
93.1,365
95.3,374
97.6,383
100,390
102,392
105,402
107,412
110,422
113,430
115,432
118,442
120,453
121,464
124,470
127,475
130,510
133,523
137,536
140,549
143,560
147,562
150,576
154,590
158,604
160,620
162,634
165,649
169,768
174,806
178,866
180,909
182,910
187,953
191,1000
196,1020
200,1050
205,1070
210,1100
215,1130
220,1150
221,1180
226,1200
232,1210
237,1240
240,1270
243,1300
249,1330
255,1370
261,1400
267,1430
270,1470
274,1500
280,1540
287,1580
294,1600
300,1620
301,1620
309,1650
316,1690
324,1740
330,1780
332,1800
340,1820
348,1870
357,1910
360,1960
365,2000
374,2050
383,2100
390,2150
392,2200
402,2210
412,2260
422,2320
430,2370
432,2400
442,2430
453,2490
464,2550
470,2610
475,2670
487,2700
499,2800
510,2870
511,2940
523,3000
536,3010
549,3090
560,3160
562,3240
576,3300
590,3320
604,3400
619,3480
620,3570
634,3600
649,3740
665,3900
680,3920
681,4020
698,4220
715,4300
732,4420
750,4530
768,4640
787,4700
806,4750
820,4990
825,5100
845,5620
866,6190
887,6200
909,6490
910,6800
931,6980
953,7150
976,7320
1000,8060
1020,10000
1050,10500
1070,10700
1100,11000
1130,11300
1150,11500
1180,11800
1200,12000
1210,12100
1240,12400
1270,12700
1300,13000
1330,13300
1370,14000
1400,14300
1430,14700
1470,15000
1500,16000
1540,16200
1580,16500
1600,16900
1620,17400
1650,17800
1690,18000
1740,18200
1780,18700
1800,19100
1820,19600
1870,20000
1910,21000
1960,21500
2000,22000
2050,22100
2100,23200
2150,23700
2200,24000
2210,24300
2260,24900
2320,25500
2370,26700
2400,27000
2430,27400
2490,28000
2550,28700
2610,29400
2670,30000
2700,30100
2740,31600
2800,33000
2870,34800
2940,35700
3000,36000
3010,38300
3090,39000
3160,39200
3240,40200
3300,42200
3320,43000
3400,44200
3480,45300
3570,47000
3600,49900
3650,56000
3740,100000
3830,102000
3900,105000
3920,127000
4020,130000
4120,133000
4220,147000
4300,150000
4320,154000
4420,160000
4530,165000
4640,174000
4700,182000
4750,191000
4870,200000
4990,205000
5100,220000
5110,232000
5230,240000
5360,249000
5490,274000
5600,280000
5620,294000
5760,300000
5900,301000
6040,392000
6190,820000
6200,1500000
6340,1000000
6490,2000000
6650,
6800,
6810,
6980,
7150,
7320
7500
7680
7870
8060
8200
8250
8450
8660
8870
9090
9100
9310
9530
9760
10000
10200
10500
10700
11000
11300
11500
11800
12000
12100
12400
12700
13000
13300
13700
14000
14300
14700
15000
15400
15800
16000
16200
16500
16900
17400
17800
18000
18200
18700
19100
19600
20000
20500
21000
21500
22000
22100
22600
23200
23700
24000
24300
24900
25500
26100
26700
27400
28700
29400
30000
30100
30900
31600
32400
33000
33200
34000
34800
35700
36000
36500
37400
38300
39000
39200
40200
41200
42200
43000
43200
44200
45300
46400
47000
47500
48700
49900
51000
51100
52300
53600
54900
56000
56200
57600
59000
60400
61900
62000
63400
64900
66500
68000
68100
69800
71500
73200
75000
76800
78700
80600
82000
82500
84500
86600
88700
90900
91000
93100
95300
97600
100000
102000
105000
107000
110000
113000
115000
118000
120000
121000
124000
127000
130000
133000
137000
140000
143000
147000
150000
154000
158000
160000
162000
165000
169000
174000
178000
180000
182000
187000
191000
196000
200000
205000
210000
215000
220000
221000
226000
232000
237000
240000
243000
249000
255000
261000
267000
270000
274000
280000
287000
294000
300000
301000
309000
316000
324000
330000
332000
340000
348000
357000
360000
365000
374000
383000
390000
392000
402000
412000
422000
430000
432000
442000
453000
464000
470000
475000
487000
499000
510000
511000
523000
536000
549000
560000
562000
576000
590000
604000
619000
620000
634000
649000
665000
680000
681000
698000
715000
732000
750000
768000
787000
806000
820000
825000
845000
866000
887000
909000
910000
931000
953000
976000
1000000
1100000
1200000
1300000
1500000
1600000
1800000
2000000
2200000
2400000
2700000
3000000
3300000
3600000
3900000
4300000
4700000
5100000
5600000
6200000
6800000
7500000
8200000
9100000
10000000
